id,Country,village_name,Y_deg,X_deg,Pop,elec_rate,demand_kwh,dist_to_grid,SubstationDist,RoadDist,GHI,GridCellArea,Elevation
8170,Benin,Sanékou,9.460611,3.065915,98,0.3877551020408163,5222.419999999999,0.8569407765535633,36.842233935102,17.222508,1912,46060.321,419.0
5293,Benin,Kétou,7.405719,2.657725,64,0.390625,1980.125,1.8120092442332596,34.04699692284803,1.403538,1731,18261.295,195.0
3022,Benin,Location #7905,6.835358,1.889511,108,0.3888888888888889,3326.61,6.749121767443401,24.889044958920877,3.014221,1741,27040.087,51.0
2468,Benin,Location #3747,6.872491,2.015493,281,0.3879003558718861,9587.82,16.518657144813186,23.11492829638982,0.0,1727,40068.463,27.0
17082,Benin,Location #14238,10.458531,1.234993,49,0.3877551020408163,1504.895,8.476281537294367,31.268309014670848,6.117708,2023,24111.277,496.0
16731,Benin,Location #15429,11.519196,2.408667,44,0.38636363636363635,1346.4850000000001,24.960768995012742,25.23967376793107,12.280806,2079,21401.915,306.0
13070,Benin,Sombouan,10.50677,2.637535,39,0.38461538461538464,1188.075,11.854632632486188,33.49824047343299,1.941626,2023,16104.827,316.0
16665,Benin,Malanville,11.625646,3.45363,49,0.3877551020408163,1827.19,19.379087741257838,27.307864385354158,3.973694,2078,23502.372,218.0
13062,Benin,Location #3997,10.542414,1.052878,258,0.3875968992248062,7920.5,23.12361907042966,51.02100052559875,5.109872,2009,164181.951,231.0
1861,Benin,Dogbo,6.774741,1.821385,49,0.3877551020408163,1504.895,2.455151075281839,16.32074376070794,1.129987,1738,10638.682,68.0
1599,Benin,Lokossa,6.621739,1.653194,75,0.38666666666666666,2454.99,3.1502067607430875,8.79235425452043,0.95858,1721,15692.549,18.0
10392,Benin,GUINROU,10.021524,2.926688,57,0.38596491228070173,1742.51,21.417305253086596,27.059838242138834,0.0,1984,49226.248,378.0
2593,Benin,Ajentemei,6.84874,1.648151,124,0.3870967741935484,3801.84,2.5275754854136423,10.822609997722688,3.639843,1761,23885.057,93.0
16742,Benin,Location #14591,11.661436,2.392631,46,0.391304347826087,1425.69,40.868130811176385,41.14991543488874,13.747694,2078,29493.701,266.0
7550,Benin,Tchaourou,9.176266,2.883954,18,0.3888888888888889,554.435,24.433433305075415,36.2258142106004,32.051058,1860,26932.712,343.0
15781,Benin,Poto,11.314722,2.547982,59,0.3898305084745763,1821.715,5.728293970998157,13.414894965747141,1.656315,2073,21521.791,270.0
3781,Benin,Pobè,7.046813,2.747205,131,0.3893129770992366,4361.75,10.240735177733587,12.815150150315208,7.622755,1691,41797.608,47.0
8083,Benin,Tchaourou,9.34778,2.911195,36,0.3888888888888889,1108.87,6.762506798594052,34.907135288856885,20.102187,1879,9652.91,361.0
7207,Benin,Manigri,8.974283,1.736863,5531,0.29940336286385827,221262.27,51.51773152271681,76.09476567672293,3.027077,1914,1813166.12,383.0
16599,Benin,Bambaga,11.578888,2.483838,26,0.38461538461538464,792.05,31.816299904300763,32.50030950753523,3.968724,2082,7060.433,301.0
1839,Benin,Allada,6.744835,2.18694,64,0.390625,2296.2149999999997,11.338630785759431,18.796829610645524,1.974451,1714,9320.105,128.0
16590,Benin,Malanville,11.574397,3.456073,124,0.3870967741935484,3801.84,24.467489365291957,32.77942743454409,5.235614,2079,47382.843,231.0
15176,Benin,Location #15888,11.108403,2.51076,39,0.38461538461538464,1188.075,17.072758822137214,22.278758518413873,19.795423,2054,25601.087,264.0
11126,Benin,Ganrou,10.164464,3.121508,371,0.3881401617250674,11879.654999999999,44.537961128098786,27.516385455681057,1.69226,2000,281046.075,368.0
1045,Benin,Location #1637,6.667626,2.341256,735,0.3877551020408163,25765.350000000002,1.3978414353593458,32.89550343819405,1.617083,1688,315326.925,60.0
6080,Benin,Aplahoué,7.358322,1.72319,376,0.3882978723404255,12044.269999999999,13.939885727566281,35.63722062585282,0.370633,1790,46985.691,148.0
11977,Benin,Tabota,10.394952,1.063298,49,0.3877551020408163,1662.94,28.465263401243114,41.039479364041334,6.328478,1996,47863.025,247.0
11195,Benin,Kalalé,10.225487,3.191948,590,0.38813559322033897,21785.390000000003,51.27090283821887,20.611507468548584,4.669473,2006,157212.381,359.0
2790,Benin,Location #9975,6.810714,2.059274,80,0.3875,2455.355,12.584004325115698,16.36417172487897,4.270398,1722,13624.814,40.0
16271,Benin,Location #12577,11.456475,2.673424,59,0.3898305084745763,1821.715,25.018146443132004,32.42094726450173,15.156195,2073,24803.014,268.0
11752,Benin,Boro,10.342444,2.937181,72,0.3888888888888889,2217.74,22.058884898184626,33.982133525457016,11.067591,2015,39006.466,355.0
1288,Benin,Honhoué,6.539257,1.930326,82,0.3902439024390244,2534.56,11.124774040866464,12.50622488357386,2.666465,1726,17087.503,40.0
15763,Benin,Poto,11.302624,2.552983,206,0.3883495145631068,6336.4,4.448048492451351,13.568643249449007,0.6048,2072,132711.845,269.0
697,Benin,Houéyogbé,6.508116,1.879809,165,0.3878787878787879,5069.12,10.994627057057984,8.96207827215006,4.732631,1723,52965.712,60.0
2817,Benin,Igbo-Assan,6.814803,2.566335,276,0.38768115942028986,10870.43,5.837635114177093,12.273234701620606,4.779665,1697,78350.699,101.0
6062,Benin,Djidja,7.334547,1.93953,77,0.38961038961038963,4777.85,13.18826694636716,21.607712829775977,0.0,1778,69569.485,169.0
6316,Benin,Savalou,7.85827,1.731125,219,0.3881278538812785,6890.47,48.56395059106788,49.35223782419264,0.0,1837,73736.493,190.0
3997,Benin,Avegamey,7.034127,1.770738,278,0.38848920863309355,8712.185,3.689331380210118,3.460082776395339,0.0,1775,54005.738,227.0
227,Benin,Do-Hongla,6.465291,2.702636,126,0.3888888888888889,4203.34,8.44206738743886,8.636925050205901,3.318201,1716,54870.032,4.0
9816,Benin,Gah-Winra Bodéde,9.669354,2.738361,36,0.3888888888888889,1108.87,7.099840492720211,30.076060405398206,6.602555,1938,21345.41,364.0
6636,Benin,Ouèssè,8.133799,2.545646,1093,0.3879231473010064,35333.825000000004,0.279798867349026,40.20075657593192,1.834756,1768,266560.791,223.0
14674,Benin,Location #16858,11.034727,2.09565,28,0.39285714285714285,871.255,47.28959613333187,45.86903694952399,13.362579,2051,39898.473,321.0
13685,Benin,Location #16252,10.750684,2.597321,36,0.3888888888888889,1108.87,21.942040972008968,25.98850067410641,19.421958,2043,19976.548,317.0
