id;X_deg;Y_deg;Pop2040;Households;Tier;TotalEnergyPerCell;FinalElecCode2040;MinimumOverallLCOE2040;Least_Cost_Option
6603;2.0800;8.1415;141.1802;24.2000;4;22673.5349;3.0000;0.4671;Solar Home System (SHS)
11851;1.0294;10.3987;57.1721;9.8000;4;9181.8447;3.0000;0.4243;Solar Home System (SHS)
13938;1.0627;10.8380;68.8399;11.8000;4;11055.6906;3.0000;0.4173;Solar Home System (SHS)
311;1.9069;6.4337;243.8567;41.8000;4;39163.3784;3.0000;0.4842;Solar Home System (SHS)
16594;3.1760;11.5766;42.0040;7.2000;4;6745.8451;3.0000;0.4078;Solar Home System (SHS)
386;2.0470;6.3850;93.3423;16.0000;4;14990.7669;3.0000;0.4731;Solar Home System (SHS)
8701;1.4774;9.6517;81.6745;14.0000;4;13116.9210;3.0000;0.4258;Solar Home System (SHS)
10340;1.6428;9.9929;42.0040;7.2000;4;6745.8451;3.0000;0.4227;Solar Home System (SHS)
7218;2.5851;9.0184;274.1929;47.0000;4;44035.3776;3.0000;0.4570;Solar Home System (SHS)
4151;1.8987;6.9984;66.5064;11.4000;4;10680.9214;3.0000;0.4806;Solar Home System (SHS)
6179;2.2158;7.1030;301.0288;51.6000;4;48345.2231;5.0000;0.2674;Mini-grid
12381;3.3296;10.3037;105.0100;18.0000;4;16864.6127;3.0000;0.4212;Solar Home System (SHS)
8847;1.7449;9.6978;60.6725;10.4000;4;9743.9985;3.0000;0.4269;Solar Home System (SHS)
16939;3.0922;12.1739;47.8379;8.2000;4;7682.7680;3.0000;0.5551;Solar Home System (SHS)
16784;3.1652;11.7191;74.6738;12.8000;4;11992.6135;3.0000;0.4061;Solar Home System (SHS)
10473;1.6723;10.0131;102.6765;17.6000;4;16489.8435;3.0000;0.4216;Solar Home System (SHS)
1404;2.0348;6.5739;138.8466;23.8000;4;22298.7657;3.0000;0.4864;Solar Home System (SHS)
6030;2.0590;7.3577;375.7026;64.4000;4;60337.8366;1.0000;0.1000;Grid Extension
6013;1.9278;7.3514;204.1862;35.0000;4;32792.3025;3.0000;0.4763;Solar Home System (SHS)
3963;1.8653;7.0800;1139.9423;195.4000;4;183074.7402;5.0000;0.2770;Mini-grid
7757;2.6329;9.2777;327.8647;56.2000;4;52655.0686;3.0000;0.4479;Solar Home System (SHS)
7064;2.5861;8.7911;84.0080;14.4000;4;13491.6902;3.0000;0.4643;Solar Home System (SHS)
6389;2.5478;7.9670;285.8607;49.0000;4;45909.2235;1.0000;0.1000;Grid Extension
3302;2.6179;6.7331;68.8399;11.8000;4;11055.6906;1.0000;0.0100;Grid Extension
13083;1.2478;10.4965;291.6946;50.0000;4;46846.1464;3.0000;0.4181;Solar Home System (SHS)
16669;2.4221;11.6410;47.8379;8.2000;4;7682.7680;3.0000;0.4076;Solar Home System (SHS)
