X_deg;Y_deg;Pop;GridCellArea;Country;ElecPop;WindVel;GHI;TravelHours;Elevation;ResidentialDemandTierCustom;Slope;NightLights;LandCover;SubstationDist;TransformerDist;CurrentHVLineDist;PlannedHVLineDist;CurrentMVLineDist;PlannedMVLineDist;RoadDist;HydropowerDist;Hydropower;HydropowerFID;IsUrban;PerCapitaDemand;HealthDemand;EducationDemand;AgriDemand;ElectrificationOrder;CommercialDemand;ResidentialDemandTier1;ResidentialDemandTier2;ResidentialDemandTier3;ResidentialDemandTier4;ResidentialDemandTier5;id;Households
1.4754;9.2543;57;0.0100;Benin;0.0000;0.0000;1954;1.7384;411.0000;38.7000;0.9449;0.0000;10;48.8322;9999;47.2718;25.7502;47.2718;25.7502;3.7249;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;7663;11.4000
2.0373;6.6759;54;0.0096;Benin;0.0000;0.0000;1718;0.5713;23.0000;219.0000;1.1664;0.0000;14;1.2211;9999;0.2927;0.3228;0.2927;0.3228;0.3997;9999;9999.0000;9999;0;43.8000;0;0;0;0;0;7.7400;43.8000;200;500;750;1097;10.8000
1.7292;7.0294;425;0.0872;Benin;0.0000;0.0000;1781;0.4559;220.0000;38.7000;1.5599;0.0000;12;7.9771;9999;16.4260;5.3760;16.4260;5.3760;2.3051;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;4035;85.0000
2.0092;10.2435;80;0.0206;Benin;0.0000;0.0000;2021;0.0779;378.0000;38.7000;0.8904;0.0000;12;41.2972;9999;61.2707;66.6479;61.2707;66.6479;0.9727;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;11515;16.0000
2.3813;11.1173;62;0.0135;Benin;0.0000;0.0000;2057;0.5630;290.0000;38.7000;0.1321;0.0000;12;19.8891;9999;105.7383;20.7117;105.7383;20.7117;10.8829;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;15005;12.4000
2.0215;6.6509;332;0.1893;Benin;0.0000;0.0000;1723;0.3919;18.0000;38.7000;0.8453;0.0000;14;1.7788;9999;3.0502;3.0798;3.0502;3.0798;0.0000;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;1758;66.4000
3.0212;9.5837;57;0.0190;Benin;0.0000;0.0000;1924;0.2333;395.0000;38.7000;0.7392;0.0000;10;22.5328;9999;38.7573;15.4316;38.7573;15.4316;4.9741;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;8594;11.4000
2.4551;11.6207;44;0.0059;Benin;0.0000;0.0000;2084;0.9033;291.0000;38.7000;0.6246;0.0000;10;36.6870;9999;158.9313;36.1526;158.9313;36.1526;7.1631;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;16636;8.8000
1.6182;9.6093;54;0.0094;Benin;54.0000;0.0000;1988;0.6166;446.0000;38.7000;0.2736;98.3995;12;6.4026;9999;5.9216;15.3974;5.9216;15.3974;0.9305;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;8649;10.8000
1.7975;9.7238;98;0.0534;Benin;0.0000;0.0000;1987;0.7216;404.0000;38.7000;0.4884;0.0000;12;17.0551;9999;11.3932;30.6968;11.3932;30.6968;0.0000;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;8932;19.6000
1.3908;10.1077;46;0.0268;Benin;0.0000;0.0000;1992;0.7278;328.0000;38.7000;0.6756;0.0000;12;9.7125;9999;4.1998;13.1599;4.1998;13.1599;3.3938;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;10599;9.2000
2.1676;7.3185;276;0.0396;Benin;0.0000;0.0000;1759;0.2118;148.0000;38.7000;2.0142;0.0000;12;18.7913;9999;9.4189;20.7410;9.4189;20.7410;9.3000;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;4731;55.2000
2.4016;7.2083;307;0.0705;Benin;0.0000;0.0000;1745;0.1017;18.0000;219.0000;1.4248;0.0000;9;29.0419;9999;2.7707;40.5677;2.7707;40.5677;1.6520;9999;9999.0000;9999;0;43.8000;0;0;0;0;0;7.7400;43.8000;200;500;750;4835;61.4000
2.0937;6.4458;173;0.0486;Benin;0.0000;0.0000;1749;0.4096;10.0000;38.7000;0.2089;0.0000;14;24.2962;9999;14.5725;19.4858;14.5725;19.4858;1.1799;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;347;34.6000
2.4118;8.3522;459;0.0505;Benin;0.0000;0.0000;1793;0.7743;221.0000;38.7000;0.8075;0.0000;10;14.2389;9999;20.9986;110.4231;20.9986;110.4231;0.0114;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;6792;91.8000
2.4372;11.6507;52;0.0218;Benin;0.0000;0.0000;2081;1.0927;286.0000;38.7000;0.4870;0.0000;10;39.8364;9999;162.4400;39.3796;162.4400;39.3796;9.0576;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;16735;10.4000
1.7681;6.8213;77;0.0085;Benin;0.0000;0.0000;1751;0.1284;43.0000;38.7000;0.5973;0.0000;14;16.5239;9999;15.1833;0.4285;15.1833;0.4285;1.0206;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;2898;15.4000
3.5363;10.7934;995;0.3612;Benin;0.0000;0.0000;2041;0.2321;321.0000;38.7000;0.5361;0.0000;12;20.3009;9999;115.7544;72.2313;115.7544;72.2313;4.5969;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;13829;199.0000
